Dates,Prices
01-01-2022,47686
01-02-2022,50760
01-03-2022,51585
01-04-2022,51754
01-05-2022,50855
01-06-2022,50517
01-07-2022,51426
01-08-2022,50414
01-09-2022,50094
01-10-2022,50322
01-11-2022,52480
01-12-2022,55017
01-01-2023,57242
01-02-2023,55756
01-03-2023,59402
01-04-2023,59919
01-05-2023,60163
01-06-2023,58211
01-07-2023,59568
01-08-2023,59374
01-09-2023,57105
01-10-2023,60940
01-11-2023,62559
01-12-2023,63203
01-01-2024,62958
01-02-2024,62567
01-03-2024,67677
01-04-2024,70415
01-05-2024,72050
01-06-2024,71528
01-07-2024,69012
01-08-2024,71611
01-09-2024,74869
01-10-2024,78443
01-11-2024,77111
